filename,Bi,SBi,Si,$REPET,StepCounter,ambientTemp,meanTemp,meanSensors,meanOpinion,sdevOpinion,minOpinion,maxOpinion,meanReliability,mnOpinErr!,mnSensErr!,mnOpSensDiff!,mnOpAmbDiff!,providersCount,cntProviders,newProviders,delProviders,self_net,meanDistSelf,meanDistNet,liveCount,link_up,link_dw,sensor_up,sensor_dw,howManyLinks,Ambient_waves_numb,Scrambs_numb,HistTooLow,H0,H1,H2,H3,H4,H5,H6,H7,H8,H9,HistTooHig
RTSIsc1.48dRnd0000000419_Ne.4Si50_Cr.0Bi-12.00-5SBi-02.00-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,-12.0,-2.0,50.0,17.0,319.5,0.59194934,-15.715033,-27.53651,-16.574703,310.81543,-70.764824,57.716827,0.30781037,4.595786,11.323958,10.483144,16.875189,39.246685,24.942282,14.304403,14.241951,18.418135,30.704464,19.800455,159.75,100.657814,59.092186,59.092186,100.657814,632.7879,5.295786,37.151516,0.0,6.5242896,29.8232,48.59479,63.145927,92.372635,186.79314,61.384468,49.02301,40.38499,54.74143,0.0
RTSIsc1.48dRnd0000000604_Ne.4Si50_Cr.0Bi-42.00-5SBi02.00-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,-42.0,2.0,50.0,17.0,319.5,0.25930816,18.147078,-23.278002,-14.039957,316.7879,-67.92242,62.219482,0.32321417,31.715672,40.922585,8.828173,14.142093,41.796875,26.625237,15.1716385,15.1034565,19.707245,27.498625,18.017576,159.75,97.39588,62.35412,62.35412,97.39588,630.6061,5.553409,36.939392,0.0,7.7237215,30.517471,51.013447,66.76279,94.28528,182.28154,60.73215,48.050617,39.54853,49.69053,0.0
RTSIsc1.48dRnd0000000102_Ne.4Si50_Cr.0Bi-46.00-5SBi-08.00-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,-46.0,-8.0,50.0,17.0,319.5,0.28660867,-65.93033,-100.949,-95.72997,416.14566,-109.68348,22.614906,0.42113698,29.562216,34.518467,4.9248104,95.528595,44.939583,25.89053,19.049053,18.983665,41.28475,102.22736,96.32318,159.75,68.656395,91.093605,91.093605,68.656395,632.1212,5.6294036,36.545456,0.0,64.8205,79.39185,74.56141,68.65672,79.9938,141.5874,39.808807,30.987263,25.571354,26.742092,0.0
RTSIsc1.48dRnd0000000946_Ne.4Si50_Cr.0Bi42.00-5SBi08.00-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,42.0,8.0,50.0,17.0,319.5,0.60220474,67.91023,102.94821,95.539825,482.94223,-16.954443,114.64748,0.37549388,27.66643,34.536743,6.9995265,94.46491,44.95147,27.337452,17.614016,17.544271,28.434801,103.257614,95.36587,159.75,83.725044,76.024956,76.024956,83.725044,632.1212,5.4849906,37.151516,0.0,24.105255,58.451515,69.592804,72.942375,87.73641,157.23721,49.395977,40.355114,34.228836,38.07571,0.0
RTSIsc1.48dRnd0000000702_Ne.4Si50_Cr.0Bi-46.00-5SBi04.00-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,-46.0,4.0,50.0,17.0,319.5,0.47313884,34.639038,-10.660713,-5.4166174,288.127,-63.278095,64.70059,0.35728407,39.5616,44.801895,5.582055,6.174337,45.042946,28.451136,16.591808,16.521828,21.979214,19.147131,12.196666,159.75,90.56965,69.18035,69.18035,90.56965,633.0303,5.484375,36.636364,0.0,6.0564394,29.708475,55.66302,75.98238,104.44115,184.2108,61.398342,44.771355,33.87737,36.920975,0.0
RTSIsc1.48dRnd0000001022_Ne.4Si50_Cr.0Bi-06.00-5SBi10.00-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,-6.0,10.0,50.0,17.0,319.5,0.03738335,79.99419,74.64989,61.295464,405.2581,-24.353306,106.14198,0.280006,18.200094,4.866998,12.861648,60.813164,37.094982,24.077745,13.017235,12.958713,17.528976,75.60864,61.683056,159.75,105.71946,54.03054,54.03054,105.71946,632.30304,5.408996,37.0,0.0,12.695076,32.287548,43.71629,52.908287,78.70369,186.12514,59.31894,52.182953,46.08068,68.284424,0.0
RTSIsc1.48dRnd0000000826_Ne.4Si50_Cr.0Bi02.00-5SBi06.00-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,2.0,6.0,50.0,17.0,319.5,0.37203515,48.57432,50.720734,37.715706,353.81595,-39.699574,89.11721,0.28421742,10.423579,1.8799243,12.520739,36.95147,37.487453,23.913069,13.574385,13.514678,16.834753,51.384617,37.912827,159.75,105.430824,54.319176,54.319176,105.430824,632.7273,5.4849906,36.636364,0.0,9.129309,30.25895,44.972538,56.56681,84.82377,183.56108,61.20478,52.158,45.33859,64.71345,0.0
RTSIsc1.48dRnd0000000309_Ne.4Si50_Cr.0Bi-32.00-5SBi-04.00-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,-32.0,-4.0,50.0,17.0,319.5,-0.078732386,-31.642912,-63.062035,-51.16116,397.58795,-96.14566,40.11903,0.29508865,19.385937,30.920975,11.414157,50.61515,38.459705,24.668608,13.791099,13.73286,18.169933,64.10063,51.73948,159.75,102.92694,56.82306,56.82306,102.92694,632.7879,5.3257103,36.909092,0.0,9.463873,31.681156,47.05033,58.165813,84.50019,184.77168,60.43092,50.858997,44.509377,61.35554,0.0
RTSIsc1.48dRnd0000000639_Ne.4Si50_Cr.0Bi28.00-5SBi02.00-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,28.0,2.0,50.0,17.0,319.5,0.43717018,17.512632,45.248657,32.98359,369.70285,-47.85855,84.595665,0.29634637,15.40999,27.23802,11.795596,32.147587,39.233665,25.234516,13.999147,13.93769,18.331581,46.05982,33.711178,159.75,102.58518,57.16482,57.16482,102.58518,633.63635,5.431771,36.78788,0.0,10.728787,31.786175,45.881344,57.940388,84.530205,184.2241,62.052464,51.46321,45.0098,60.019886,0.0
RTSIsc1.48dRnd0000000943_Ne.4Si50_Cr.0Bi36.00-5SBi08.00-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,36.0,8.0,50.0,17.0,319.5,0.25886154,64.80842,96.22958,87.22169,455.5377,-18.7364,113.6691,0.33553338,22.427698,30.921638,8.557339,86.472534,41.67623,25.958664,15.7175665,15.654025,24.016714,96.88612,87.49559,159.75,92.85994,66.89006,66.89006,92.85994,630.1818,5.674337,37.0,0.0,19.113588,45.50824,56.324574,62.47552,84.30166,171.6581,54.20952,46.319225,39.91198,50.35942,0.0
