filename,Bi,SBi,Si,$REPET,StepCounter,ambientTemp,meanTemp,meanSensors,meanOpinion,sdevOpinion,minOpinion,maxOpinion,meanReliability,mnOpinErr!,mnSensErr!,mnOpSensDiff!,mnOpAmbDiff!,providersCount,cntProviders,newProviders,delProviders,self_net,meanDistSelf,meanDistNet,liveCount,link_up,link_dw,sensor_up,sensor_dw,howManyLinks,Ambient_waves_numb,Scrambs_numb,HistTooLow,H0,H1,H2,H3,H4,H5,H6,H7,H8,H9,HistTooHig
RTSIsc1.48cRnd0000000019_Ne.4Si50_Cr.0Bi-05.00-5SBi-10.00-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,-5.0,-10.0,50.0,17.0,319.5,0.21983248,-78.39374,-82.54727,-70.465034,424.71704,-106.9779,23.555689,0.28954297,7.7652936,3.7119792,11.594271,70.2018,39.032906,25.141382,13.891524,13.8307295,18.688164,83.80631,70.95687,159.75,103.47751,56.27249,56.27249,103.47751,633.51514,5.5454545,36.696968,0.0,14.882244,34.63144,45.641525,53.784042,78.916336,183.78442,58.707577,51.48442,46.457054,65.22609,0.0
RTSIsc1.48cRnd0000000027_Ne.4Si50_Cr.0Bi35.00-5SBi-08.00-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,35.0,-8.0,50.0,17.0,319.5,0.1169287,-64.41119,-30.354342,-18.261724,325.18976,-74.37179,53.61543,0.30010384,45.64981,33.556488,11.5996685,18.13698,39.38892,25.49517,13.89375,13.834091,19.095264,32.80156,20.572725,159.75,101.54877,58.201233,58.201233,101.54877,632.30304,5.530303,36.969696,0.0,10.520691,32.857388,48.35109,59.077038,84.8304,184.84499,59.472584,48.93087,42.630207,60.787785,0.0
RTSIsc1.48cRnd0000000013_Ne.4Si50_Cr.0Bi-35.00-5SBi00.00-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,-35.0,0.0,50.0,17.0,319.5,0.08371838,1.1795261,-33.198364,-21.541794,331.58582,-73.90457,56.699356,0.29948527,22.339773,33.878742,11.165152,21.297964,39.643322,25.52874,14.114583,14.052746,18.14929,35.50881,23.96217,159.75,102.17803,57.571968,57.571968,102.17803,632.8485,5.4544034,37.060608,0.0,8.491903,30.207338,48.201233,61.067852,88.27898,182.8614,60.574623,50.946022,43.371876,58.84725,0.0
RTSIsc1.48cRnd0000000010_Ne.4Si50_Cr.0Bi-50.00-5SBi-02.00-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,-50.0,-2.0,50.0,17.0,319.5,0.86489,-16.513083,-65.603615,-53.77958,421.7318,-97.79013,41.545143,0.29865226,36.92519,48.589016,11.332386,54.203648,39.606865,25.5982,14.008665,13.948958,18.4491,67.55026,55.427383,159.75,102.158005,57.592,57.592,102.158005,630.9091,5.6126895,36.878788,0.0,10.017377,33.953457,48.622395,58.00412,83.726944,182.79692,59.41875,51.01056,43.718372,59.640198,0.0
RTSIsc1.48cRnd0000000017_Ne.4Si50_Cr.0Bi-15.00-5SBi10.00-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,-15.0,10.0,50.0,17.0,319.5,0.5888547,82.76727,68.83052,55.67291,382.65924,-26.783024,103.052086,0.28413197,26.598484,13.437406,12.669082,54.61321,38.037735,24.661268,13.376468,13.3203125,18.366478,69.217255,55.39958,159.75,104.60047,55.149525,55.149525,104.60047,633.3939,5.4702654,36.939392,0.0,13.223201,33.869884,44.71979,52.525425,77.67239,186.64304,58.443607,51.846306,46.241856,68.20843,0.0
RTSIsc1.48cRnd0000000013_Ne.4Si50_Cr.0Bi-35.00-5SBi-06.00-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,-35.0,-6.0,50.0,17.0,319.5,0.08371838,-47.675335,-80.38826,-68.66336,453.3127,-105.34401,30.28141,0.29566532,20.943607,32.212738,11.2535515,68.26728,39.489964,25.391525,14.098437,14.035795,18.39716,81.5816,69.391174,159.75,102.60838,57.14162,57.14162,102.60838,633.8182,5.4544034,37.060608,0.0,12.14162,33.914253,46.43835,56.44337,83.49863,180.86208,60.33518,51.89247,45.936977,62.355255,0.0
RTSIsc1.48cRnd0000000021_Ne.4Si50_Cr.0Bi05.00-5SBi-10.00-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,5.0,-10.0,50.0,17.0,319.5,0.48364154,-78.355606,-73.66638,-61.013607,402.29245,-103.41645,28.00382,0.2845922,16.841904,4.1934185,12.1673765,61.029358,37.629166,24.14555,13.483618,13.423437,18.171827,75.23814,61.89983,159.75,104.568375,55.18163,55.18163,104.568375,631.69696,5.5368843,36.878788,0.0,11.489252,32.80322,45.21307,54.270123,79.76302,184.64862,58.745216,51.774574,46.652416,66.337456,0.0
RTSIsc1.48cRnd0000000023_Ne.4Si50_Cr.0Bi15.00-5SBi02.00-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,15.0,2.0,50.0,17.0,319.5,0.26235053,15.805217,30.872854,19.808449,325.2364,-54.967804,74.93161,0.30895254,5.451468,14.566903,10.5873575,19.160606,39.83949,25.427084,14.412405,14.352746,19.000189,32.4416,21.49678,159.75,100.16496,59.585037,59.585037,100.16496,632.24243,5.5837593,37.0,0.0,7.8086176,31.496828,50.33499,62.75412,89.26103,183.63579,60.674244,49.708805,41.564632,55.00336,0.0
RTSIsc1.48cRnd0000000027_Ne.4Si50_Cr.0Bi35.00-5SBi10.00-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,35.0,10.0,50.0,17.0,319.5,0.1169287,80.616714,105.84227,99.60441,476.42575,-19.84131,114.79095,0.3990491,19.128078,24.723343,5.8725853,98.99356,44.168182,26.018229,18.149952,18.085037,36.846924,106.66017,99.95954,159.75,75.00781,84.74219,84.74219,75.00781,631.2727,5.530303,36.969696,0.0,54.39375,73.38172,71.7526,68.93234,82.85573,140.69275,42.278503,33.831345,29.155682,33.998295,0.0
RTSIsc1.48cRnd0000000028_Ne.4Si50_Cr.0Bi40.00-5SBi-06.00-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,40.0,-6.0,50.0,17.0,319.5,0.40650687,-48.678635,-9.805718,-4.120289,275.84302,-64.11068,60.923187,0.33943272,44.060417,38.374004,7.3799243,6.366714,42.39498,26.621922,15.773059,15.705682,20.323912,20.317558,11.744821,159.75,94.438965,65.311035,65.311035,94.438965,632.1212,5.4322915,37.060608,0.0,5.4500475,27.117329,52.091335,72.309326,100.73537,189.67732,60.486507,45.697586,35.261127,43.295265,0.0
